OrderNo,OrderedQuantity,Price,OrderLineNumber,TotalSales,OrderDate,OrderStatus,Month,Quarter,Year,ProductLine,MSRP,ProductCode,CustomerName,CustomerPhone,CustomerAddress,City,State,PostalCode,Country,Geography,SalesContactFName,SalesContactLName,AvgDealSize
10235,41,35.35,7,1449.35,2004-04-02,Shipped,4,2,2004,VintageCars,43,S501341,RoyalCanadianCollectablesLtd,6045554555,23TsawassenBlvd,Tsawassen,BC,T2F8M4,Canada,NA,Elizabeth,Lincoln,Small
10361,49,72.33,2,3544.17,2004-12-17,Shipped,12,4,2004,VintageCars,68,S324289,SouveniersAndThingsCo,61294958555,MonitorMoneyBuilding815PacificHwy,Chatswood,NSW,2067,Australia,APAC,Adrian,Huxley,Medium
10273,48,83.02,3,3984.96,2004-07-21,Shipped,7,3,2004,VintageCars,83,S243816,PetitAuto,02555467,RueJosephBens532,Bruxelles,"",B-1180,Belgium,EMEA,Catherine,Dewey,Medium
10120,43,76,14,3268,2003-04-29,Shipped,4,2,2003,Planes,80,S7003167,AustralianCollectorsCo,0395204555,636StKildaRoad,Melbourne,Victoria,3004,Australia,APAC,Peter,Ferguson,Medium
10212,20,66.99,14,1339.8,2004-01-16,Shipped,1,1,2004,ClassicCars,77,S181889,EuroShoppingChannel,915559444,CMoralzarzal86,Madrid,"",28034,Spain,EMEA,Diego,Freyre,Small
10236,22,100,1,2852.08,2004-04-03,Shipped,4,2,2004,Motorcycles,118,S102016,MotorMintDistributorsInc,2155559857,11328DouglasAv,Philadelphia,PA,71270,USA,NA,Rosa,Hernandez,Small
10382,37,100,11,4071.85,2005-02-17,Shipped,2,1,2005,ClassicCars,151,S123148,MiniGiftsDistributorsLtd,4155551450,5677StrongSt,SanRafael,CA,97562,USA,NA,Valarie,Nelson,Medium
10302,43,100,1,7310,2003-10-06,Shipped,10,4,2003,VintageCars,170,S181749,UKCollectablesLtd,1715552282,BerkeleyGardens12Brewery,Liverpool,"",WX16LT,UK,EMEA,Elizabeth,Devon,Large
10126,21,100,8,2439.57,2003-05-28,Shipped,5,2,2003,TrucksandBuses,136,S121666,CorridaAutoReplicasLtd,915552282,CAraquil67,Madrid,"",28023,Spain,EMEA,Mart¡n,Sommer,Small
10119,21,89.46,9,1878.66,2003-04-28,Shipped,4,2,2003,Ships,86,S183029,SalzburgCollectables,65629555,Geislweg14,Salzburg,"",5020,Austria,EMEA,Georg,Pipps,Small
10186,22,69.2,2,1522.4,2003-11-14,Shipped,11,4,2003,Planes,68,S242841,DoubleDeckerGiftStoresLtd,1715557555,120HanoverSq,London,"",WA11DP,UK,EMEA,Thomas,Hardy,Small
10324,26,58.38,7,1517.88,2004-11-05,Shipped,11,4,2004,TrucksandBuses,118,S124473,VitachromeInc,2125551500,2678KingstonRd,NYC,NY,10022,USA,NA,Michael,Frick,Small
10104,35,47.62,11,1666.7,2003-01-31,Shipped,1,1,2003,TrucksandBuses,54,S322509,EuroShoppingChannel,915559444,CMoralzarzal86,Madrid,"",28034,Spain,EMEA,Diego,Freyre,Small
10152,33,50.95,2,1681.35,2003-09-25,Shipped,9,3,2003,Trains,62,S323207,AustralianGiftNetworkCo,61738446555,31DuncanStWestEnd,SouthBrisbane,Queensland,4101,Australia,APAC,Tony,Calaghan,Small
10282,31,100,8,4674.8,2004-08-20,Shipped,8,3,2004,ClassicCars,143,S184027,MiniGiftsDistributorsLtd,4155551450,5677StrongSt,SanRafael,CA,97562,USA,NA,Valarie,Nelson,Medium
10270,46,88,4,4048,2004-07-19,Shipped,7,3,2004,ClassicCars,101,S7002824,SouveniersAndThingsCo,61294958555,MonitorMoneyBuilding815PacificHwy,Chatswood,NSW,2067,Australia,APAC,Adrian,Huxley,Medium
10304,36,73.04,2,2629.44,2004-10-11,Shipped,10,4,2004,TrucksandBuses,64,S323522,AutoAssocCie,30598555,67avenuedelEurope,Versailles,"",78000,France,EMEA,Daniel,Tonini,Small
10221,33,100,3,4417.38,2004-02-18,Shipped,2,1,2004,VintageCars,136,S183140,PetitAuto,02555467,RueJosephBens532,Bruxelles,"",B-1180,Belgium,EMEA,Catherine,Dewey,Medium
10223,32,91.29,2,2921.28,2004-02-20,Shipped,2,1,2004,Motorcycles,112,S241578,AustralianCollectorsCo,0395204555,636StKildaRoad,Melbourne,Victoria,3004,Australia,APAC,Peter,Ferguson,Small
10301,22,96.37,2,2120.14,2003-10-05,Shipped,10,4,2003,ClassicCars,107,S243432,NorwayGiftsByMailCo,4722121555,Drammensveien126APB744Sentrum,Oslo,"",N0106,Norway,EMEA,Jan,Klaeboe,Small
10314,44,53.18,11,2339.92,2004-10-22,Shipped,10,4,2004,ClassicCars,57,S241444,HeintzeCollectables,86213555,Smagsloget45,Aaarhus,"",8200,Denmark,EMEA,Palle,Ibsen,Small
10252,25,100,9,2832,2004-05-26,Shipped,5,2,2004,Motorcycles,102,S324485,AutoCanalPetit,147556555,25rueLauriston,Paris,"",75016,France,EMEA,Dominique,Perrier,Small
10222,49,94.62,10,4636.38,2004-02-19,Shipped,2,1,2004,Ships,86,S183029,CollectableMiniDesignsCo,7605558146,361FurthCircle,SanDiego,CA,91217,USA,NA,Valarie,Thompson,Medium
10400,30,74.84,7,2245.2,2005-04-01,Shipped,4,2,2005,Ships,86,S183029,TheSharpGiftsWarehouse,4085553659,3086IngleLn,SanJose,CA,94217,USA,NA,Sue,Frick,Small
10400,38,57.2,3,2173.6,2005-04-01,Shipped,4,2,2005,VintageCars,65,S243420,TheSharpGiftsWarehouse,4085553659,3086IngleLn,SanJose,CA,94217,USA,NA,Sue,Frick,Small
10245,45,59.87,7,2694.15,2004-05-04,Shipped,5,2,2004,VintageCars,50,S184668,SuperScaleInc,2035559545,567NorthPendaleStreet,NewHaven,CT,97823,USA,NA,Leslie,Murphy,Small
10207,44,100,6,7060.24,2003-12-09,Shipped,12,4,2003,ClassicCars,163,S182238,DiecastCollectables,6175552555,6251IngleLn,Boston,MA,51003,USA,NA,Valarie,Franco,Large
10309,50,84.7,3,4235,2004-10-15,Shipped,10,4,2004,Motorcycles,102,S324485,BaaneMiniImports,07989555,ErlingSkakkesgate78,Stavern,"",4110,Norway,EMEA,Jonas,Bergulfsen,Medium
10324,49,100,13,5379.71,2004-11-05,Shipped,11,4,2004,ClassicCars,143,S184027,VitachromeInc,2125551500,2678KingstonRd,NYC,NY,10022,USA,NA,Michael,Frick,Medium
10311,43,100,3,4595.41,2004-10-16,Shipped,10,4,2004,ClassicCars,117,S242887,EuroShoppingChannel,915559444,CMoralzarzal86,Madrid,"",28034,Spain,EMEA,Diego,Freyre,Medium
